Primary Industry Type,,Employer,Doing Business As,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state)
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Ace Energy Services,Ace Energy Services,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Aggregate Industries,,"5,000 to 9,999",1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","AJAX Mountain Enterpises, LLC",,5 to 9,2,"AZ, CO"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Alliance Energy Service Co., LLC",,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","American Mine Services, LLC",,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Apergy ESP Systems,Apergy ESP Systems,100 to 499,9,"CO, KS, ND, OK, TX, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Arcosa LW, LLC",,100 to 499,242,"AL, CA, CO, LA, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Arkos Field Services LP,,100 to 499,13,"CO, LA, MI, OK, PA, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",ASPECT MANAGEMENT CORP,,20 to 99,2,"CO, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Assist Consulting, LLC","Assist Consulting, LLC",20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Aus-Tex Exploration Inc,,5 to 9,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",AusCo Petroleum Inc.,,20 to 99,4,"CO, KY, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Baker Hughes Incorporated,,"10,000 and over",236,"AK, AL, AR, CA, CO, CT, DC, HI, IL, IN, KS, LA, MA, MI, MN, MO, MS, MT, ND, NJ, NM, NV, OH, OK, PA, TX, UT, VA, WA, WI, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Barrick North America Holding Corporation and its affiliates and their subsidiaries in the U.S.,,"2,500 to 4,999",18,"AK, AZ, CA, CO, DC, FL, MT, NM, NV, SD, UT"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Basic Energy Services,,"5,000 to 9,999",104,"AR, CO, LA, MT, ND, NM, OK, TX, UT, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Basic Energy Services, LP",Basic Energy Services,"2,500 to 4,999",81,"CA, CO, KS, LA, MT, ND, NM, OK, TX, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Berry Petroleum Company,,100 to 499,4,"CA, CO, TX, UT"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Berry Petroleum Company, LLC",,100 to 499,4,"CA, CO, TX, UT"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Bill Barrett Corporation,,100 to 499,6,"CO, UT, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",BJ Services,BJ Services,"2,500 to 4,999",17,"AR, CA, CO, KS, LA, ND, NM, OH, OK, PA, TX, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",BJ Services Company,,"5,000 to 9,999",37,"AR, CA, CO, KY, ND, NM, OK, PA, TX, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","BJ Services, LLC",BJ Services,"2,500 to 4,999",17,"AR, CA, CO, KS, LA, ND, NM, OH, OK, PA, TX, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Bonanza Creek Energy,Bonanza Creek Energy,100 to 499,3,"AR, CO"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Boral Aggregates,,20 to 99,3,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Bowie Resources LLC,,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Brigade Energy,,100 to 499,11,"CO, ND, NM, OK, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",BULL DORADO HOLDINGS,BULLDOG COMPLETION SERVICES,20 to 99,6,"CO, LA, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",BURNCO TEXAS,,100 to 499,2,"CO, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",C & J Energy Services,Nabors,"5,000 to 9,999",39,"AL, CO, KS, LA, MT, ND, NM, OK, PA, TX, UT, VA, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","C & J Gravel Products, Inc.",,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","C&J Energy Services, Inc.",,"5,000 to 9,999",109,"CA, CO, MS, MT, ND, NM, OK, PA, TX, UT, VA, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","C&J Spec-Rent Services, Inc.",,"2,500 to 4,999",33,"CA, CO, LA, ND, NM, OK, PA, TX, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Cade Drilling, LLC",,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Cameron International Corporation,Cameron International Corporation,"5,000 to 9,999",111,"AK, AL, AR, CA, CO, KS, LA, MI, MS, ND, NM, OH, OK, PA, TX, UT, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Camino Natural Resources Management, LLC",,20 to 99,2,"CO, OK"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Canary LLC,,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Canary, LLC",,100 to 499,12,"AR, AZ, CA, CO, MT, ND, OK, PA, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Canary, LLC",,100 to 499,17,"AR, CA, CO, LA, MT, ND, OK, PA, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Castleton Resources LLC,Castleton Resources LLC,100 to 499,5,"CO, LA, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Cementers Well Service Inc,,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Chesapeake Operating, LLC",,"2,500 to 4,999",42,"CO, DC, KS, KY, LA, NM, OH, OK, OR, TX, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Cimarex Energy Co,,500 to 999,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Cimarex Energy Co,,500 to 999,22,"CO, NM, OK, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","CLARCOR, Inc.",,"2,500 to 4,999",45,"AL, AZ, CA, CO, GA, IL, IN, KS, KY, MN, MO, MS, NC, NE, NJ, OH, OK, OR, PA, SD, TN, TX, VA, WA"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Climax Molybdenum Company,,500 to 999,5,"CO, IA"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Climax Molybdenum Company,Climax Mine,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Colorado Crushing Inc,Colorado Crushing Inc,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Colowyo Coal Mine,,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Columbine Logging Inc.,,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Complete Production Services, Inc.",,20 to 99,2,"CO, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Compliance Staffing Agency,,100 to 499,6,"CO, UT, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Core Laboratories LP / Saybolt LP,,"1,000 to 2,499",63,"AL, AR, CA, CO, FL, GA, IN, LA, MA, MS, MT, NC, NJ, NM, OK, PA, PR, TN, TX, UT, VI, WA, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Cripple Creek & Victor Gold Mining Company LLC, Colorado",,500 to 999,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",CSI Compressco GP Inc.,,"1,000 to 2,499",41,"AL, AR, CA, CO, KS, LA, ND, NM, OH, OK, PA, TX, UT, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",CST Oil and Gas Corporation,Tunesco Well Services,20 to 99,3,"CO, KS, MO"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Cutters Wireline Service, Inc.",,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Cutters Wireline Service, Inc.",,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",DIRTY JERRYS CASING SERVICE LLC,,5 to 9,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Don-Nan Pump and Supply Company, Inc.","Don-Nan Pump and Supply Company, Inc.",500 to 999,28,"CA, CO, KS, MT, ND, NM, OK, TX, UT, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",DTC Energy Group,,10 to 19,5,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","DTC Energy Group, Inc",,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Eastern Colorado Well Service, LLC.",,100 to 499,7,"CO, KS, ND, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Elite Oil Field Services INC,,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Elite Oil Field Services, Inc.",,20 to 99,2,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Elk Creek Sand & Gravel, LLC",,5 to 9,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Emerge Energy Services,Superior Silica Sands,100 to 499,14,"CO, OK, PA, TX, WI"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Energy Fuels (USA) Inc,,100 to 499,5,"AZ, CO, UT"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","EnerVest Employee Services, LLC",,"1,000 to 2,499",32,"AZ, CA, CO, MI, NM, OH, OK, PA, TX, UT, WV"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",ENSERVCO CORPORATION,ENSERVCO,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Ensign United States Drilling Inc.,,"1,000 to 2,499",1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Evergreen Energy Inc.,,20 to 99,2,"CO, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Exxon Mobil Corporation,Exxon Mobil Corporation,"10,000 and over",658,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NJ, NM, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Felix Chavez & Son Construction LLC,,20 to 99,2,"CO, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",First Drilling LLC,,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Flatirons Field Services, LLC",,5 to 9,3,"CO, ND, NE"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Flint Energy Services Inc.,,"2,500 to 4,999",22,"CO, LA, ND, NM, OK, PA, TX, UT, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Fort Drilling, LLC",,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","FourPoint Energy, LLC",,100 to 499,2,"CO, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Frac Shack America Inc,,500 to 999,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Freeport Minerals Corporation,,"1,000 to 2,499",25,"AZ, CO, CT, NM, WA"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Front Range Aggregates, LLC",,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",FTS International,,"1,000 to 2,499",21,"CO, LA, MT, OH, OK, PA, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",FTS International Services LLC,,"2,500 to 4,999",34,"AL, CO, LA, MO, ND, NM, OK, PA, TX, UT, WI"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Fuzion Field Services LLC,,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","GCC Energy, LLC",,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",GCC Rio Grande,,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Geosearch Logging Inc,,100 to 499,4,"CO, OH, OK, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Geotemps Inc.,,100 to 499,8,"AK, AZ, CA, CO, NV, TX, UT, WA"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Glenn E. Sessions & Sons, Inc.",,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Gradiant Energy Services,,20 to 99,3,"CO, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Gravity Oilfield Services,,"1,000 to 2,499",16,"CO, LA, ND, NE, NM, OK, PA, TX, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Gusher Oil Field Services, LLC",,20 to 99,4,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Halcon Resources Corporation,,100 to 499,12,"CO, LA, MS, ND, OK, PA, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",HARRISON WESTERN CONSTRUCTION CORPORATION,,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",HEAT WAVES HOT OIL SERVICESLL,"Heat Waves Hot Oil Services, LLC",100 to 499,7,"CO, KS, ND, OK, PA, TX, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",HEAT WAVES WATER MANAGEMENT LLC,HEAT WAVES WATER MANAGEMENT LLC,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Highlands Natural Resources Corporation,,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Hunt Consolidated, Inc.",Hunt Oil Company,"1,000 to 2,499",17,"CO, LA, ND, TX, UT, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Hydro Resources Colorado,,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Hydrozonix, LLC","Hydrozonix, LLC",20 to 99,2,"CO, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Hyland Enterprises, Inc.",,100 to 499,5,"CO, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Hyper Energy LLC,,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Idarado Mining Company,,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","IEL Management, LLC>",,20 to 99,2,"CO, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Ignition Systems & Controls, Inc.",,20 to 99,8,"CO, LA, OK, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Imerys Filtration Minerals, Inc.",,500 to 999,11,"CA, CO, FL, GA, MI, NC, NM, NV, TX, WA, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",INTEGRATED CONSULTING & INSPECTION,,20 to 99,2,"CO, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Integrity Solutions Field Services, Inc.",,5 to 9,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Intrepid Potash, Inc.",,20 to 99,7,"CO, NM, TX, UT"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","IOS/PCI, LLC",,100 to 499,12,"CO, LA, ND, NE, OK, PA, TX, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",J & A Services,,100 to 499,7,"CO, ND, NM, PA, TX, UT"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Jackson Hewitt Inc,,"5,000 to 9,999",971,"AL, AZ, CO, FL, GA, IN, MN, MO, MS, NC, NE, NJ, OK, PA, SC, TN, TX, UT"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Jagged Peak Energy LLC,,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Jagged Peak Energy Management LLC,,5 to 9,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","JC Fodale, LLC","JC Fodale, LLC",500 to 999,7,"AR, CO, LA, OH, OK, WI"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","K P Kauffman Company, Inc.",,20 to 99,2,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Kauffman Well Service Inc,,20 to 99,2,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Keane Frac LP,,"2,500 to 4,999",5,"CO, ND, PA, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","KGL Associates, Inc.",,20 to 99,4,"CO, NM, NV, OK"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Kiewit Energy Group Inc.,,100 to 499,12,"CO, KS, MD, NC, NE, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Kiewit Mining Group Inc.,Kiewit Mexico Services Inc.,500 to 999,8,"CO, ID, NE, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Lantern Drilling Company,,100 to 499,6,"AR, CO, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Larch Industry,Larch Industry,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Liberty Oilfield Services,,"1,000 to 2,499",1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Liberty Resources Management Company LLC,,20 to 99,2,"CO, ND"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Lockhart Geophysical,,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","LoneTree Energy & Associates, LLC",,5 to 9,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Lonkar Services US LLC,Lightning Wireline,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",M-I LLC aka M-I SWACO,,"2,500 to 4,999",53,"AK, CA, CO, GA, KY, LA, MO, MS, MT, ND, NM, NV, OK, PA, TX, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Magna Energy Services, LLC",,100 to 499,3,"CO, ND, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Martin Marietta Materials, Inc.",,"5,000 to 9,999",304,"AL, AR, CO, CT, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NE, NV, OH, OK, SC, TN, TX, VA, WA, WI, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","McElvain Oil & Gas Properties, Inc.",,20 to 99,4,"CO, NM, UT"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Mill Man Steel, Inc.",,10 to 19,3,"CA, CO, WA"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Mining & Environmental Services LLC,MES Mining,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Mining & Environmental Services, LLC",,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","MISTRAS Group, Inc.",,"2,500 to 4,999",68,"AK, AL, CA, CO, CT, FL, GA, IL, IN, KY, LA, MA, MD, MS, NC, NJ, NV, OH, PA, SC, TN, TX, UT, VA, VT, WA, WV"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Mojave Desert Minerals, LLC",,5 to 9,2,"AZ, CO"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Monument Well Service,,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Mountain Coal Company,,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Mountain States Casing Company, LLC",,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Multi-shot LLC,MS Energy Services,100 to 499,6,"CO, MT, PA, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Mustang Extreme Environmental Services,,100 to 499,9,"CO, LA, OK, PA, TX, WV"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Naill Services, Inc.",,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Newfield Exploration Company,,"1,000 to 2,499",14,"CO, MT, ND, OK, TX, UT"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Newfield Rocky Mountains, Inc",,100 to 499,3,"CO, MT, ND"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Newmont International Services Limited, Delaware",Newmont Mining,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Noble Energy,,500 to 999,12,"CO, IL, KS, MT, NM, OK, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Northern Lights Energy Company,,20 to 99,4,"CO, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",NRE Field Services LLC,,20 to 99,2,"CO, NM"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",O & A STONE LLC,,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Oil States Energy Services-STX/Permian/Rockies,,500 to 999,18,"CA, CO, ND, NM, TX, UT, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Orica USA Inc.,,500 to 999,4,"CO, LA"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Orica USA Inc.,,500 to 999,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Ouray Silver Mines, Inc.",,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","OWL SWD Operating, LLC",,20 to 99,6,"CO, NM, TX, UT, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Oxbow Mining, LLC",,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Pason Systems USA Corp,Pason Systems USA Corp,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Paterson & Cooke LTD,,5 to 9,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Patriot Well Solutions,,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","PDC Energy, Inc.",,100 to 499,4,"CO, OH, WV"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Peabody Colorado Services, LLC",,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Peabody Investments Corp.,,"5,000 to 9,999",18,"AZ, CO, IL, IN, MO, NM, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Peterson Energy Operating, Inc.",,5 to 9,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Petro Tech LLC,Petro Tech LLC,5 to 9,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Petro-Canada Resources (USA) Inc,,20 to 99,2,"CO, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Phelps Dodge Corporation,,100 to 499,10,"AZ, CO, LA, NJ, NM"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Phillips Stone Co Inc,,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Piceance Well Service,,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Polycor US,,10 to 19,4,"CO, GA, OK, PA"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","PRECISION AIR CARGO, INC",,20 to 99,3,"CO, IL, UT"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Premium Valve Services, LLC",Premium Energy Group,100 to 499,7,"CO, NY, OH, OK, TX, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Price Mine Service,,20 to 99,10,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Professional Services, Inc.",,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",PSC Industrial Outsourcing LP,,"1,000 to 2,499",57,"AL, CA, CO, IL, IN, KY, LA, MD, MI, MN, MS, MT, NJ, NY, OH, PA, TX, UT, WI"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",PSI LLC,PSI Energy Production Services,20 to 99,2,"CO, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","QEP Resources, Inc.",,500 to 999,24,"CO, LA, MO, ND, NM, OK, TX, UT, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","QEP Resources, Inc.",,500 to 999,14,"CO, LA, ND, TX, UT, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","QEP Resources, Inc.",,500 to 999,11,"CO, LA, ND, TX, UT, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",QES Pressure Control LLC,,100 to 499,9,"AR, CO, OH, OK, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Quest Automated Services LLC,,20 to 99,3,"CO, OK, TX"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",R & W Rental,,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Rancher Energy Corp,,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Rapid Hot Flow LLC,,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Rio Tinto America Holdings Inc and Subsidiaries,,"2,500 to 4,999",3,"CA, CO, UT"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Rival Services,,5 to 9,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Rock Products,,20 to 99,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","RockPile Management, LLC.",,100 to 499,2,"CO, ND"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Rocky Mountain Environmental Concerns,,5 to 9,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Roustabout Specialties, Inc.",,100 to 499,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Samson Resources Company,,500 to 999,2,"CO, OK"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION","Sava Energy, LLC",,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Schlumberger Technology Corporation,Schlumerger Technology Corporation,"10,000 and over",193,"AK, AR, AZ, CA, CO, FL, KS, LA, MA, ND, NJ, NM, NY, OH, OK, PA, TX, UT, WV, WY"
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Schneider Energy Consulting,,10 to 19,1,CO
21,"MINING, QUARRYING, AND OIL AND GAS EXTRACTION",Scientific Drilling,,"1,000 to 2,499",13,"CA, CO, LA, MS, ND, OK, PA, TX, WY"
